event_id,p_star,q_star,a11,a12,a21,a22,b11,b12,b21,b22,t1,t2,t3,t4,t5,merging_id,lag_id,lead_id
2275.0,1.0,0.026142359465185394,1.0,-0.026844128317182747,0.0,0.0,1.0,-1.0268441283171827,1.0,-1248.3720028202154,0,-1.0268441283171827,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2276.0,1.0,0.024253328789890467,1.0,-0.024856173744166377,0.0,0.0,1.0,-1.0248561737441664,1.0,-1248.3720028202154,0,-1.0248561737441664,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2277.0,1.0,0.02199343967479953,1.0,-0.02248802877915912,0.0,0.0,1.0,-1.0224880287791591,1.0,-1248.3720028202154,0,-1.0224880287791591,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2278.0,1.0,0.01837160462351526,1.0,-0.018715437236785704,0.0,0.0,1.0,-1.0187154372367857,1.0,-1248.3720028202154,0,-1.0187154372367857,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2279.0,1.0,0.01684956910330462,1.0,-0.017138342794537298,0.0,0.0,1.0,-1.0171383427945373,1.0,-1248.3720028202154,0,-1.0171383427945373,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2280.0,1.0,0.01682125295370589,1.0,-0.017109048587798492,0.0,0.0,1.0,-1.0171090485877985,1.0,-1248.3720028202154,0,-1.0171090485877985,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2281.0,1.0,0.01595075652883149,1.0,-0.016209307242152082,0.0,0.0,1.0,-1.016209307242152,1.0,-1248.3720028202154,0,-1.016209307242152,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2282.0,1.0,0.015055348036034387,1.0,-0.015285476200123771,0.0,0.0,1.0,-1.0152854762001238,1.0,-1248.3720028202154,0,-1.0152854762001238,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2283.0,1.0,0.014157496028769916,1.0,-0.014360809126954699,0.0,0.0,1.0,-1.0143608091269547,1.0,-1248.3720028202154,0,-1.0143608091269547,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2284.0,1.0,0.013258676512122853,1.0,-0.013436831109147063,0.0,0.0,1.0,-1.013436831109147,1.0,-1248.3720028202154,0,-1.013436831109147,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2285.0,1.0,0.012358352356872217,1.0,-0.012512992325064198,0.0,0.0,1.0,-1.0125129923250642,1.0,-1248.3720028202154,0,-1.0125129923250642,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2286.0,1.0,0.01145640404406811,1.0,-0.011589174307471639,0.0,0.0,1.0,-1.0115891743074716,1.0,-1248.3720028202154,0,-1.0115891743074716,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2287.0,1.0,0.010554162251331944,1.0,-0.01066674076404861,0.0,0.0,1.0,-1.0106667407640486,1.0,-1248.3720028202154,0,-1.0106667407640486,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2288.0,1.0,0.009649334667772893,1.0,-0.009743351527446986,0.0,0.0,1.0,-1.009743351527447,1.0,-1248.3720028202154,0,-1.009743351527447,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
