event_id,t2,t4,merging_id,lead_id,lag_id,LC,Final_follower_decision,Previous_decision,Time_lapsed,Time_norm,Time_log,Time_bin,PrevDec_0,PrevDec_1,PrevDec_2
2428,-1.0637435283722425,-381.7160444211788,668.0,-9999.0,798.0,0.0,0.0,2,2.0,-0.970885278328157,1.0986122886681098,0,0,0,1
2429,-1.0605611772206502,-381.7160444211788,668.0,-9999.0,798.0,0.0,0.0,2,2.0,-0.970885278328157,1.0986122886681098,0,0,0,1
2430,-1.0575757678692703,-381.7160444211788,668.0,-9999.0,798.0,0.0,0.0,2,2.0,-0.970885278328157,1.0986122886681098,0,0,0,1
2431,-1.054580265746633,-381.7160444211788,668.0,-9999.0,798.0,0.0,0.0,2,2.0,-0.970885278328157,1.0986122886681098,0,0,0,1
2432,-1.051577811603578,-381.7160444211788,668.0,-9999.0,798.0,0.0,0.0,2,2.0,-0.970885278328157,1.0986122886681098,0,0,0,1
2433,-1.0478211209526758,-381.7160444211788,668.0,-9999.0,798.0,0.0,0.0,2,2.0,-0.970885278328157,1.0986122886681098,0,0,0,1
2434,-1.043788523259317,-381.7160444211788,668.0,-9999.0,798.0,0.0,0.0,2,2.0,-0.970885278328157,1.0986122886681098,0,0,0,1
2435,-1.0399251487293288,-381.7160444211788,668.0,-9999.0,798.0,0.0,0.0,2,2.0,-0.970885278328157,1.0986122886681098,0,0,0,1
2436,-1.0365263235050346,-381.7160444211788,668.0,-9999.0,798.0,0.0,0.0,2,2.0,-0.970885278328157,1.0986122886681098,0,0,0,1
2437,-1.0331877916909398,-381.7160444211788,668.0,-9999.0,798.0,0.0,0.0,2,2.0,-0.970885278328157,1.0986122886681098,0,0,0,1
2438,-1.0292310771613509,-381.7160444211788,668.0,-9999.0,798.0,0.0,0.0,2,2.0,-0.970885278328157,1.0986122886681098,0,0,0,1
2439,-1.0250975483164608,-381.7160444211788,668.0,-9999.0,798.0,0.0,0.0,2,2.0,-0.970885278328157,1.0986122886681098,0,0,0,1
2440,-1.0208663490917764,-381.7160444211788,668.0,-9999.0,798.0,0.0,0.0,2,2.0,-0.970885278328157,1.0986122886681098,0,0,0,1
2441,-1.016193233306402,-381.7160444211788,668.0,-9999.0,798.0,0.0,0.0,2,2.0,-0.970885278328157,1.0986122886681098,0,0,0,1
2442,-1.0126859873281258,-381.7160444211788,668.0,-9999.0,798.0,0.0,0.0,2,2.0,-0.970885278328157,1.0986122886681098,0,0,0,1
2443,-1.0101251253604544,-381.7160444211788,668.0,-9999.0,798.0,0.0,0.0,2,2.0,-0.970885278328157,1.0986122886681098,0,0,0,1
2444,-1.0079669335485553,-381.7160444211788,668.0,-9999.0,798.0,0.0,0.0,2,2.0,-0.970885278328157,1.0986122886681098,0,0,0,1
2445,-1.0064061903704244,-381.7160444211788,668.0,-9999.0,798.0,0.0,0.0,2,2.0,-0.970885278328157,1.0986122886681098,0,0,0,1
2446,-1.0565505606668577,-405.41792066500415,726.0,-9999.0,797.0,1.0,2.0,0,79.0,-0.6647000123421162,4.382026634673881,3,1,0,0
2447,-1.053975832151005,-405.41792066500415,726.0,-9999.0,797.0,0.0,2.0,0,79.0,-0.6647000123421162,4.382026634673881,3,1,0,0
2448,-1.0509529649165146,-405.41792066500415,726.0,-9999.0,797.0,0.0,2.0,0,79.0,-0.6647000123421162,4.382026634673881,3,1,0,0
2449,-1.0471697992149764,-405.41792066500415,726.0,-9999.0,797.0,0.0,2.0,0,79.0,-0.6647000123421162,4.382026634673881,3,1,0,0
2450,-1.043440657828312,-405.41792066500415,726.0,-9999.0,797.0,0.0,2.0,0,79.0,-0.6647000123421162,4.382026634673881,3,1,0,0
2451,-1.0404895303196602,-405.41792066500415,726.0,-9999.0,797.0,0.0,2.0,0,79.0,-0.6647000123421162,4.382026634673881,3,1,0,0
2452,-1.0368205729627535,-405.41792066500415,726.0,-9999.0,797.0,0.0,2.0,0,79.0,-0.6647000123421162,4.382026634673881,3,1,0,0
2453,-1.0336020917036404,-405.41792066500415,726.0,-9999.0,797.0,0.0,2.0,0,79.0,-0.6647000123421162,4.382026634673881,3,1,0,0
2454,-1.0306226624556103,-405.41792066500415,726.0,-9999.0,797.0,0.0,2.0,0,79.0,-0.6647000123421162,4.382026634673881,3,1,0,0
2455,-1.027833910263911,-405.41792066500415,726.0,-9999.0,797.0,0.0,2.0,0,79.0,-0.6647000123421162,4.382026634673881,3,1,0,0
2456,-1.0250403068471718,-405.41792066500415,726.0,-9999.0,797.0,0.0,2.0,0,79.0,-0.6647000123421162,4.382026634673881,3,1,0,0
2457,-1.021722059084348,-405.41792066500415,726.0,-9999.0,797.0,0.0,2.0,0,79.0,-0.6647000123421162,4.382026634673881,3,1,0,0
2458,-1.0169424237821671,-405.41792066500415,726.0,-9999.0,797.0,0.0,2.0,0,79.0,-0.6647000123421162,4.382026634673881,3,1,0,0
2459,-1.0125534520980295,-405.41792066500415,726.0,-9999.0,797.0,0.0,2.0,0,79.0,-0.6647000123421162,4.382026634673881,3,1,0,0
2460,-1.0078769098943194,-405.41792066500415,726.0,-9999.0,797.0,0.0,2.0,0,79.0,-0.6647000123421162,4.382026634673881,3,1,0,0
2461,-1.005125802435347,-405.41792066500415,726.0,-9999.0,797.0,0.0,2.0,0,79.0,-0.6647000123421162,4.382026634673881,3,1,0,0
2462,-1.0566893568813194,-397.7566055211382,769.0,-9999.0,824.0,1.0,0.0,0,626.0,1.5104083057665116,6.440946540632921,3,1,0,0
2463,-1.0542256025276615,-397.7566055211382,769.0,-9999.0,824.0,0.0,0.0,0,626.0,1.5104083057665116,6.440946540632921,3,1,0,0
2464,-1.0508876481354492,-397.7566055211382,769.0,-9999.0,824.0,0.0,0.0,0,626.0,1.5104083057665116,6.440946540632921,3,1,0,0
2465,-1.0470076445592034,-397.7566055211382,769.0,-9999.0,824.0,0.0,0.0,0,626.0,1.5104083057665116,6.440946540632921,3,1,0,0
2466,-1.043605773483263,-397.7566055211382,769.0,-9999.0,824.0,0.0,0.0,0,626.0,1.5104083057665116,6.440946540632921,3,1,0,0
2467,-1.0407132490457145,-397.7566055211382,769.0,-9999.0,824.0,0.0,0.0,0,626.0,1.5104083057665116,6.440946540632921,3,1,0,0
2468,-1.0377922537712645,-397.7566055211382,769.0,-9999.0,824.0,0.0,0.0,0,626.0,1.5104083057665116,6.440946540632921,3,1,0,0
2469,-1.0341843174267824,-397.7566055211382,769.0,-9999.0,824.0,0.0,0.0,0,626.0,1.5104083057665116,6.440946540632921,3,1,0,0
2470,-1.031011957308652,-397.7566055211382,769.0,-9999.0,824.0,0.0,0.0,0,626.0,1.5104083057665116,6.440946540632921,3,1,0,0
2471,-1.0283773873037445,-397.7566055211382,769.0,-9999.0,824.0,0.0,0.0,0,626.0,1.5104083057665116,6.440946540632921,3,1,0,0
2472,-1.0254241076532324,-397.7566055211382,769.0,-9999.0,824.0,0.0,0.0,0,626.0,1.5104083057665116,6.440946540632921,3,1,0,0
2473,-1.0216918612872343,-397.7566055211382,769.0,-9999.0,824.0,0.0,0.0,0,626.0,1.5104083057665116,6.440946540632921,3,1,0,0
